Placa,Pais,Plot,Site,Provincia,Nro_Plot,Altitud_plot,Latitud_plot,Longitud_plot,Family,Genus,Species,Scientific_name,POM,IND3,DAP3,HT3,Code3,BA3,Year3,code notes names
2782,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,15.6,10.95028707,,0.01911345,2019,ID_spp
2783,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,11.6,7.983769337,,0.010568318,2019,Genus id number plot
2784,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,9,5.888420633,,0.006361725,2019,Genus id number plot
2785,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Melastomataceae,Miconia,corymbiformis,Miconia corymbiformis,1.3,1,8.9,5.806731538,,0.006221139,2019,ID_spp
2786,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,6,3.465861168,,0.002827433,2019,Genus id number plot
2787,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.3,1,14.6,10.2484519,,0.016741547,2019,ID_spp
2788,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,5.8,3.309741785,,0.002642079,2019,ID_spp
2789,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,6,3.465861168,,0.002827433,2019,ID_spp
2790.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,5.9,3.387658249,,0.002733971,2019,ID_spp
2790.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,5,2.698366029,,0.001963495,2019,ID_spp
