"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"54","Acalypha callosa var. glabra","1","914804","Acalypha callosa var. glabra","1","variety","","","","Britton ex Pax & K. Hoffm.","Euphorbiaceae","Acalypha","Acalypha","1","callosa","callosa","1","","","","var.","glabra","1","","","","","","http://www.tropicos.org/Name/50236465","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,61
"57","Acalypha diversifolia var. caloneura","1","914805","Acalypha diversifolia var. caloneura","1","variety","","","","Pax & K. Hoffm.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","var.","caloneura","1","","","","","","http://www.tropicos.org/Name/50236466","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,62
"58","Acalypha diversifolia var. carpinifolia","1","175427","Acalypha diversifolia var. carpinifolia","1","variety","","","","MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","var.","carpinifolia","1","","","","","","http://www.tropicos.org/Name/12802603","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,63
"59","Acalypha diversifolia var. leptostachya","1","175428","Acalypha diversifolia var. leptostachya","1","variety","","","","(Kunth) MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","var.","leptostachya","1","","","","","","http://www.tropicos.org/Name/12802604","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,64
"60","Acalypha diversifolia var. popayanensis","1","887561","Acalypha diversifolia var. popayanensis","1","variety","","","","(MÃ¼ll. Arg.) MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","var.","popayanensis","1","","","","","","http://www.tropicos.org/Name/50208601","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,65
"61","Acalypha diversifolia var. squarrosa","1","914800","Acalypha diversifolia var. squarrosa","1","variety","","","","MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","var.","squarrosa","1","","","","","","http://www.tropicos.org/Name/50236461","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,66
"62","Acalypha hartwegiana","1","914799","Acalypha hartwegiana","1","species","","","","Benth. ex Baill.","Euphorbiaceae","Acalypha","Acalypha","1","hartwegiana","hartwegiana","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236460","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,67
"63","Acalypha inaequalis","1","175075","Acalypha inaequalis","1","species","","","","Rusby","Euphorbiaceae","Acalypha","Acalypha","1","inaequalis","inaequalis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802231","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,68
"66","Acalypha leptostachya var. carpinifolia","1","175432","Acalypha leptostachya var. carpinifolia","1","variety","","","","MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","leptostachya","leptostachya","1","","","","var.","carpinifolia","1","","","","","","http://www.tropicos.org/Name/12802609","","Y","No opinion","","","","","","","","","1","1","tropicos","",true,69
"67","Acalypha leptostachya var. popayanensis","1","887562","Acalypha leptostachya var. popayanensis","1","variety","","","","(Kunth) MÃ¼ll. Arg.","Euphorbiaceae","Acalypha","Acalypha","1","leptostachya","leptostachya","1","","","","var.","popayanensis","1","","","","","","http://www.tropicos.org/Name/50208602","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,70
"68","Acalypha microgyna","1","175266","Acalypha microgyna","1","species","","","","Poepp. & Endl.","Euphorbiaceae","Acalypha","Acalypha","1","microgyna","microgyna","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802426","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,71
"69","Acalypha panamensis","1","175437","Acalypha panamensis","1","species","","","","Klotzsch","Euphorbiaceae","Acalypha","Acalypha","1","panamensis","panamensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802615","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,72
"70","Acalypha popayanensis","1","914793","Acalypha popayanensis","1","species","","","","Kunth","Euphorbiaceae","Acalypha","Acalypha","1","popayanensis","popayanensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236454","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,73
"71","Acalypha salicioides","1","914802","Acalypha salicioides","1","species","","","","Rusby","Euphorbiaceae","Acalypha","Acalypha","1","salicioides","salicioides","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236463","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,74
"72","Acalypha samydifolia","1","173533","Acalypha samydifolia","1","species","","","","Poepp. & Endl.","Euphorbiaceae","Acalypha","Acalypha","1","samydifolia","samydifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/12800640","","Y","Accepted","Acalypha samydifolia","Acalypha samydifolia","Poepp. & Endl.","173533","species","http://www.tropicos.org/Name/12800640","","Euphorbiaceae","1","1","tropicos","",true,75
"73","Acalypha tabascensis","1","175090","Acalypha tabascensis","1","species","","","","Lundell","Euphorbiaceae","Acalypha","Acalypha","1","tabascensis","tabascensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802246","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,76
"74","Acalypha ulmifolia","1","914796","Acalypha ulmifolia","1","species","","","","Benth.","Euphorbiaceae","Acalypha","Acalypha","1","ulmifolia","ulmifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236457","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,77
"75","Acalypha vermifera","1","815979","Acalypha vermifera","1","species","","","","Rusby","Euphorbiaceae","Acalypha","Acalypha","1","vermifera","vermifera","1","","","","","","","","","","","","http://www.tropicos.org/Name/50134660","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,78
"76","Brosimum heteroclitum","1","785580","Brosimum heteroclitum","1","species","","","","Donn. Sm.","Moraceae","Brosimum","Brosimum","1","heteroclitum","heteroclitum","1","","","","","","","","","","","","http://www.tropicos.org/Name/50103361","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,79
"77","Ricinocarpus diversifolius","1","914792","Ricinocarpus diversifolius","1","species","","","","(Jacq.) Kuntze","Euphorbiaceae","Ricinocarpus","Ricinocarpus","1","diversifolius","diversifolius","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236453","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,80
"78","Ricinocarpus samydifolius","1","914795","Ricinocarpus samydifolius","1","species","","","","(Poepp. & Endl.) Kuntze","Euphorbiaceae","Ricinocarpus","Ricinocarpus","1","samydifolius","samydifolius","1","","","","","","","","","","","","http://www.tropicos.org/Name/50236456","","Y","Synonym","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,81
"79","Ehretia bogotensis","1","759681","Ehretia bogotensis","1","species","","","","Spreng.","Ehretiaceae","Ehretia","Ehretia","1","bogotensis","bogotensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50076886","","Y","Synonym","Aegiphila bogotensis","Aegiphila bogotensis","(Spreng.) Moldenke","529543","species","http://www.tropicos.org/Name/33702539","","Lamiaceae","1","1","tropicos","",true,82
"80","Aequatorium polygonoides","1","85314","Aequatorium polygonoides","1","species","","","","B. Nord.","Asteraceae","Aequatorium","Aequatorium","1","polygonoides","polygonoides","1","","","","","","","","","","","","http://www.tropicos.org/Name/2736182","","Y","Accepted","Aequatorium polygonoides","Aequatorium polygonoides","B. Nord.","85314","species","http://www.tropicos.org/Name/2736182","","Asteraceae","1","1","tropicos","",true,83
"81","Aequatorium verrucosum","1","726746","Aequatorium verrucosum","1","species","","","","(Wedd.) S. DÃ­az & Cuatrec.","Asteraceae","Aequatorium","Aequatorium","1","verrucosum","verrucosum","1","","","","","","","","","","","","http://www.tropicos.org/Name/50043148","","Y","Accepted","Aequatorium verrucosum","Aequatorium verrucosum","(Wedd.) S. DÃ­az & Cuatrec.","726746","species","http://www.tropicos.org/Name/50043148","","Asteraceae","1","1","tropicos","",true,84
"82","Gynoxys jamesonii","1","91608","Gynoxys jamesonii","1","species","","","","S.F. Blake","Asteraceae","Gynoxys","Gynoxys","1","jamesonii","jamesonii","1","","","","","","","","","","","","http://www.tropicos.org/Name/2743348","","Y","Synonym","Aequatorium jamesonii","Aequatorium jamesonii","(S.F. Blake) C. Jeffrey","726703","species","http://www.tropicos.org/Name/50043102","","Asteraceae","1","1","tropicos","",true,85
"83","Gynoxys repanda","1","56437","Gynoxys repanda","1","species","","","","Wedd.","Asteraceae","Gynoxys","Gynoxys","1","repanda","repanda","1","","","","","","","","","","","","http://www.tropicos.org/Name/2706421","","Y","Synonym","Nordenstamia repanda","Nordenstamia repanda","(Wedd.) Lundin","972539","species","http://www.tropicos.org/Name/50295392","","Asteraceae","1","1","tropicos","",true,86
"84","Gynoxys simulans","1","783854","Gynoxys simulans","1","species","","","","Cuatrec.","Asteraceae","Gynoxys","Gynoxys","1","simulans","simulans","1","","","","","","","","","","","","http://www.tropicos.org/Name/50101615","","Y","Synonym","Aequatorium jamesonii","Aequatorium jamesonii","(S.F. Blake) C. Jeffrey","726703","species","http://www.tropicos.org/Name/50043102","","Asteraceae","1","1","tropicos","",true,87
