usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,note
8376201,Escallonia myrtilloides L.fil.,Escallonia myrtilloides,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Escalloniales,Escalloniaceae,Escallonia,Escallonia myrtilloides,6,7707728.0,220.0,7221331.0,3234486.0,2986228.0,8376201.0,False,Magnoliopsida,,
7548211,Escallonia paniculata (Ruiz & Pav.) Roem. & Schult.,Escallonia paniculata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Escalloniales,Escalloniaceae,Escallonia,Escallonia paniculata,6,7707728.0,220.0,7221331.0,3234486.0,2986228.0,7548211.0,False,Magnoliopsida,,
3083348,Eschweilera caudiculata R.Knuth,Eschweilera caudiculata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Eschweilera,Eschweilera caudiculata,6,7707728.0,220.0,1353.0,3990.0,3083183.0,3083348.0,False,Magnoliopsida,,
9009627,Eschweilera awaensis S.A.Mori & Cornejo,Eschweilera awaensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Eschweilera,Eschweilera awaensis,6,7707728.0,220.0,1353.0,3990.0,3083183.0,9009627.0,False,Magnoliopsida,,
3083210,Eschweilera rimbachii Standl.,Eschweilera rimbachii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Eschweilera,Eschweilera rimbachii,6,7707728.0,220.0,1353.0,3990.0,3083183.0,3083210.0,False,Magnoliopsida,,
5417919,Eugenia florida DC.,Eugenia florida,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eugenia,Eugenia florida,6,7707728.0,220.0,690.0,5014.0,3177662.0,5417919.0,False,Magnoliopsida,,
6306442,Eugenia crassimarginata M.L.Kawas. & B.Holst,Eugenia crassimarginata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eugenia,Eugenia crassimarginata,6,7707728.0,220.0,690.0,5014.0,3177662.0,6306442.0,False,Magnoliopsida,,
2898149,Faramea ampla C.M.Taylor,Faramea ampla,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea ampla,6,7707728.0,220.0,412.0,8798.0,2897889.0,2898149.0,False,Magnoliopsida,,
2897917,Faramea calyptrata C.M.Taylor,Faramea calyptrata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea calyptrata,6,7707728.0,220.0,412.0,8798.0,2897889.0,2897917.0,False,Magnoliopsida,,
2897954,Faramea langlassei Standl.,Faramea langlassei,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea langlassei,6,7707728.0,220.0,412.0,8798.0,2897889.0,2897954.0,False,Magnoliopsida,,
2898087,Faramea occidentalis (L.) A.Rich.,Faramea occidentalis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea occidentalis,6,7707728.0,220.0,412.0,8798.0,2897889.0,2898087.0,False,Magnoliopsida,,
2898125,Faramea oblongifolia Standl.,Faramea oblongifolia,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea oblongifolia,6,7707728.0,220.0,412.0,8798.0,2897889.0,2898125.0,False,Magnoliopsida,,
3848244,Faramea parvibractea Steyerm.,Faramea parvibractea,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Faramea,Faramea parvibractea,6,7707728.0,220.0,412.0,8798.0,2897889.0,3848244.0,False,Magnoliopsida,,
5572320,Ficus americana subsp. guianensis (Desv.) C.C.Berg,Ficus americana guianensis,SUBSPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus americana,6,7707728.0,220.0,691.0,6640.0,2984588.0,5361926.0,False,Magnoliopsida,,
5571209,Ficus brevibracteata W.C.Burger,Ficus brevibracteata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus brevibracteata,6,7707728.0,220.0,691.0,6640.0,2984588.0,5571209.0,False,Magnoliopsida,,
5570712,Ficus cervantesiana Standl. & L.O.Williams,Ficus cervantesiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus cervantesiana,6,7707728.0,220.0,691.0,6640.0,2984588.0,5570712.0,False,Magnoliopsida,,
5571043,Ficus caldasiana Dugand,Ficus caldasiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus caldasiana,6,7707728.0,220.0,691.0,6640.0,2984588.0,5571043.0,False,Magnoliopsida,,
7389440,Ficus cuatrecasasiana Dugand,Ficus cuatrecasasiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus cuatrecasasiana,6,7707728.0,220.0,691.0,6640.0,2984588.0,7389440.0,False,Magnoliopsida,,
7262827,Ficus dulciaria Dugand,Ficus dulciaria,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus dulciaria,6,7707728.0,220.0,691.0,6640.0,2984588.0,7262827.0,False,Magnoliopsida,,
5572226,Ficus lacunata Kvitvik,Ficus lacunata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus lacunata,6,7707728.0,220.0,691.0,6640.0,2984588.0,5572226.0,False,Magnoliopsida,,
5571803,Ficus macbridei Standl.,Ficus macbridei,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus macbridei,6,7707728.0,220.0,691.0,6640.0,2984588.0,5571803.0,False,Magnoliopsida,,
5571386,Ficus maxima Mill.,Ficus maxima,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus maxima,6,7707728.0,220.0,691.0,6640.0,2984588.0,5571386.0,False,Magnoliopsida,,
5570900,Ficus mutisii Dugand,Ficus mutisii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus mutisii,6,7707728.0,220.0,691.0,6640.0,2984588.0,5570900.0,False,Magnoliopsida,,
5572425,Ficus tonduzii Standl.,Ficus tonduzii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus tonduzii,6,7707728.0,220.0,691.0,6640.0,2984588.0,5572425.0,False,Magnoliopsida,,
5572292,Ficus trianae Dugand,Ficus trianae,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus trianae,6,7707728.0,220.0,691.0,6640.0,2984588.0,5572292.0,False,Magnoliopsida,,
7313985,Freziera canescens Humb. & Bonpl.,Freziera canescens,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Pentaphylacaceae,Freziera,Freziera canescens,6,7707728.0,220.0,1353.0,4259202.0,7313766.0,7313985.0,False,Magnoliopsida,,
7313906,Freziera reticulata Humb. & Bonpl.,Freziera reticulata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Pentaphylacaceae,Freziera,Freziera reticulata,6,7707728.0,220.0,1353.0,4259202.0,7313766.0,7313906.0,False,Magnoliopsida,,
3590720,Freziera verrucosa (Hieron.) Kobuski,Freziera verrucosa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Pentaphylacaceae,Freziera,Freziera verrucosa,6,7707728.0,220.0,1353.0,4259202.0,7313766.0,3590720.0,False,Magnoliopsida,,
7288046,Gaiadendron punctatum (Ruiz & Pav.) G.Don,Gaiadendron punctatum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Santalales,Loranthaceae,Gaiadendron,Gaiadendron punctatum,6,7707728.0,220.0,934.0,6663.0,7288034.0,7288046.0,False,Magnoliopsida,,
7727026,Garcinia macrophylla Mart.,Garcinia macrophylla,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Clusiaceae,Garcinia,Garcinia macrophylla,6,7707728.0,220.0,1414.0,6646.0,3189556.0,7727026.0,False,Magnoliopsida,,
3713863,Garcinia madruno (Kunth) Hammel,Garcinia madruno,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Clusiaceae,Garcinia,Garcinia madruno,6,7707728.0,220.0,1414.0,6646.0,3189556.0,3713863.0,False,Magnoliopsida,,
7362167,Geissanthus ambigua (C.Mart.) G.Agostini,Geissanthus ambigua,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Geissanthus,Geissanthus ambigua,6,7707728.0,220.0,1353.0,6674.0,7330862.0,7362167.0,False,Magnoliopsida,,
3719368,Geissanthus andinus Mez,Geissanthus andinus,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Geissanthus,Geissanthus andinus,6,7707728.0,220.0,1353.0,6674.0,7330862.0,3719368.0,False,Magnoliopsida,,
3718995,Geissanthus longistamineus (A.C.Sm.) Pipoly,Geissanthus longistamineus,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Geissanthus,Geissanthus longistamineus,6,7707728.0,220.0,1353.0,6674.0,7330862.0,3718995.0,False,Magnoliopsida,,
3718860,Geissanthus pichinchae Mez,Geissanthus pichinchae,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Geissanthus,Geissanthus pichinchae,6,7707728.0,220.0,1353.0,6674.0,7330862.0,3718860.0,False,Magnoliopsida,,
2734311,Geonoma undata Klotzsch,Geonoma undata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Arecales,Arecaceae,Geonoma,Geonoma undata,6,7707728.0,196.0,552.0,7681.0,2734029.0,2734311.0,False,Liliopsida,,
4075076,Gloeospermum grandifolium Hekking,Gloeospermum grandifolium,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Violaceae,Gloeospermum,Gloeospermum grandifolium,6,7707728.0,220.0,1414.0,6631.0,7296352.0,4075076.0,False,Magnoliopsida,,
5528227,Gordonia fruticosa (Schrad.) H.Keng,Gordonia fruticosa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Theaceae,Gordonia,Gordonia fruticosa,6,7707728.0,220.0,1353.0,3189597.0,3189631.0,5528227.0,False,Magnoliopsida,,
5600083,Graffenrieda cucullata (D.Don) L.O.Williams,Graffenrieda cucullata,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Myrtales,Melastomataceae,Graffenrieda,Graffenrieda cucullata,6,7707728.0,220.0,690.0,6683.0,7398997.0,5600083.0,False,Magnoliopsida,,
3082328,Grias peruviana Miers,Grias peruviana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Grias,Grias peruviana,6,7707728.0,220.0,1353.0,3990.0,3082326.0,3082328.0,False,Magnoliopsida,,
7368396,Grias theobromicarpa Cornejo & S.A.Mori,Grias theobromicarpa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Grias,Grias theobromicarpa,6,7707728.0,220.0,1353.0,3990.0,3082326.0,7368396.0,False,Magnoliopsida,,
7327320,Guapira opposita (Vell.) Reitz,Guapira opposita,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Guapira,Guapira opposita,6,7707728.0,220.0,422.0,6718.0,3086054.0,7327320.0,False,Magnoliopsida,,
3849547,Guarea cartaguenya Cuatrec.,Guarea cartaguenya,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Sapindales,Meliaceae,Guarea,Guarea cartaguenya,6,7707728.0,220.0,933.0,2397.0,3190499.0,3849547.0,False,Magnoliopsida,,
3190505,Guarea glabra Vahl,Guarea glabra,SPECIES,DOUBTFUL,100,EXACT,Plantae,Tracheophyta,Sapindales,Meliaceae,Guarea,Guarea glabra,6,7707728.0,220.0,933.0,2397.0,3190499.0,3190505.0,False,Magnoliopsida,,
3851727,Guarea kunthiana A.Juss.,Guarea kunthiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Sapindales,Meliaceae,Guarea,Guarea kunthiana,6,7707728.0,220.0,933.0,2397.0,3190499.0,3851727.0,False,Magnoliopsida,,
7271393,Guarea macrophylla M.Vahl,Guarea macrophylla,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Sapindales,Meliaceae,Guarea,Guarea macrophylla,6,7707728.0,220.0,933.0,2397.0,3190499.0,7271393.0,False,Magnoliopsida,,
3155888,Guatteria goudotiana Triana & Planch.,Guatteria goudotiana,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliales,Annonaceae,Guatteria,Guatteria goudotiana,6,7707728.0,220.0,718.0,9291.0,3155604.0,3155888.0,False,Magnoliopsida,,
8750337,Guatteria pichinchae Maas & Westra,Guatteria pichinchae,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliales,Annonaceae,Guatteria,Guatteria pichinchae,6,7707728.0,220.0,718.0,9291.0,3155604.0,8750337.0,False,Magnoliopsida,,
3648720,Guatteria venosa Erkens & Maas,Guatteria venosa,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliales,Annonaceae,Guatteria,Guatteria venosa,6,7707728.0,220.0,718.0,9291.0,3155604.0,3648720.0,False,Magnoliopsida,,
