Scientific_names
Acalypha diversifolia
Aegiphila aculeifera
Aegiphila alba
Aegiphila bogotensis
Aegiphila lopez-palacii var. pubescens
Aegiphila novogranatensis
Aegiphila monticola
Aequatorium jamesonii
Agouticarpa williamsii
Aiouea formicaria
Aiouea palaciosii
Alchornea grandis
Alchornea bogotensis
Alchornea triplinervia
Alchornea glandulosa
Allophylus dodsonii
Allophylus excelsus
Allophylus floribundus
Alsophila erinacea
Alsophila firma
Alsophila incana
Alsophila conjugata
Alsophila cuspidata
Andira taurotesticulata
Aniba magnifica
Annona deceptrix
Annona mucosa
Annona quinduensis
Aphelandra acanthus
Ardisia ambigua
Axinaea lehmannii
Axinaea macrophylla
Axinaea quitensis
Bactris gasipaes var. chichagui
Banara glauca
Banara regia
Beilschmiedia alloiophylla
Beilschmiedia tovarensis
Beilschmiedia pendula
Billia rosea
Blakea eriocalyx
Blakea rotundifolia
Boehmeria caudata
Boehmeria fallax
Brachyotum gleasonii
Brosimum guianense
Brosimum utile subsp. occidentale
Brownea multijuga
Browneopsis macrofoliolata
Brunellia acostae
Acalypha alchorneoides
Acalypha betuloides
Acalypha billbergiana
Acalypha callosa var. glabra
Acalypha carpinifolia
Acalypha carpinifolia
Acalypha diversifolia var. caloneura
Acalypha diversifolia var. carpinifolia
Acalypha diversifolia var. leptostachya
Acalypha diversifolia var. popayanensis
Acalypha diversifolia var. squarrosa
Acalypha hartwegiana
Acalypha inaequalis
Acalypha leptostachya
Acalypha leptostachya
Acalypha leptostachya var. carpinifolia
Acalypha leptostachya var. popayanensis
Acalypha microgyna
Acalypha panamensis
Acalypha popayanensis
Acalypha salicioides
Acalypha samydifolia
Acalypha tabascensis
Acalypha ulmifolia
Acalypha vermifera
Brosimum heteroclitum
Ricinocarpus diversifolius
Ricinocarpus samydifolius
Ehretia bogotensis
Aequatorium polygonoides
Aequatorium verrucosum
Gynoxys jamesonii
Gynoxys repanda
Gynoxys simulans
Senecio polygonoides
Senecio simulans
Genipa williamsii
Cinnamomum formicarium
Cinnamomum palaciosii
Alchornea acroneura
Alchornea brevistyla
Alchornea glandulosa var. parvifolia
Alchornea intermedia
Alchornea janeirensis
Alchornea nemoralis
Alchornea nemoralis var. intermedia
Alchornea nemoralis var. lanceolata
Alchornea nemoralis var. parvifolia
Alchornea nemoralis var. psilorhachis
Alchornea nemoralis var. rotundifolia
Alchornea obovata
Alchornea parvifolia
Alchornea parvifolia
Alchornea psilorhachis
Alchornea rotundifolia
Alchornea triplinervia fo. intermedia
Alchornea triplinervia fo. psilorhachis
Alchornea triplinervia var. boliviana
Alchornea triplinervia var. crassifolia
Alchornea triplinervia var. genuina
Alchornea triplinervia var. iricuranoide
Alchornea triplinervia var. iricuranoides
Alchornea triplinervia var. janeirensis
Alchornea triplinervia var. laevigata
Alchornea triplinervia var. lanceolata
Alchornea triplinervia var. nemoralis
Alchornea triplinervia var. parvifolia
Alchornea triplinervia var. tomentella
Alchornea triplinervia var. trinitatis
Antidesma guatemalensis
Antidesma triplinervium
Alchornea glandulosa var. genuina
Alchornea glandulosa var. hispida
Alchornea glandulosa var. pavoniana
Alchornea glandulosa var. pittieri
Alchornea nemoralis var. glandulosa
Alchornea pittieri
Alchornea sodiroi
Alchornea subrotunda
Alchornea umboensis
Schmidelia excelsa
Allophylus leiophloeus
Schmidelia floribunda
Cyathea aureonitens
Cyathea cuspidata var. rigida
Cyathea erinacea
Cyathea purpurascens
Nephelea aureonitens
Nephelea erinacea
Alsophila costalis
Alsophila furcata
Alsophila tenerifrons
Cyathea arida
Cyathea articulata
Cyathea firma
Cyathea firma
Cyathea gemmifera
Cyathea mexicana
Cyathea patellaris
Cyathea trejoi
Hemitelia firma
Nephelea mexicana
Cyathea canescens
Cyathea incana
Cyathea sprucei
Nephelea incana
Cyathea cuspidata
Cyathea hassleriana
Cyathea hassleriana var. rojasii
Cyathea oxyacantha
Cyathea oyapoka
Cyathea punctifera
Nephelea cuspidata
Raimondia deceptrix
Annona biflora
Annona biflora
Annona obtusiflora
Annona obtusifolia
Annona parviflora
Annona parviflora
Annona pterocarpa
Annona pteropetala
Annona pteropetala
Annona reticulata var. mucosa
Rollinia biflora
Rollinia curvipetala
Rollinia deliciosa
Rollinia jimenezii
Rollinia jimenezii var. nelsonii
Rollinia micrantha
Rollinia mucosa
Rollinia mucosa subsp. aequatorialis
Rollinia mucosa subsp. portoricensis
Rollinia mucosa var. macropoda
Rollinia mucosa var. neglecta
Rollinia neglecta
Rollinia orthopetala
Rollinia permensis
Rollinia pterocarpa
Rollinia pulchrinervia
Rollinia sieberi
Aphelandra quercifolia
Odontophyllum acanthus
Axinaea affinis
Axinaea floribunda
Chastenaea floribunda
Chastenaea macrophylla
Kuhlia glauca
Banara magnifolia
Ocotea alloiophylla
Aniba pseudo-coto
Hufelandia tovarensis
Ocotea pseudo-coto
Beilschmiedia brenesii
Beilschmiedia costaricensis
Cryptocarya kostermansiana
Hufelandia costaricensis
Hufelandia pendula
Hufelandia thomaea
Laurus pendula
Billia columbiana
Billia hippocastanum
Putzeysia rosea
Topobea rotundifolia
Boehmeria fallax var. cordata
Alicastrum guianense
Brosimum aubletii
Brosimum discolor
Brosimum lecointei
Brosimum lemeei
Brosimum palmarum
Brosimum panamense
Brosimum rotundatum
Brosimum tessmannii
Brosimum velutinum
Piratinera discolor
Piratinera guianensis
Piratinera lemeei
Piratinera mollis
Piratinera panamensis
Piratinera scabridula
Piratinera velutina
Brownea herthae
Brunellia darienensis
Brunellia diversifolia
