Scientific_names,Original_names
Wikstroemia fruticosa,Gordonia fruticosa
Calyptrella cucullata,Graffenrieda cucullata
Conostegia cucullata,Graffenrieda cucullata
Melastoma cucullatum,Graffenrieda cucullata
Grias grandifolia,Grias peruviana
Grias maranonensis,Grias peruviana
Grias tessmannii,Grias peruviana
Bessera calycantha,Guapira opposita
Guapira cafferiana,Guapira opposita
Guapira olfersiana,Guapira opposita
Pisonia cafferiana,Guapira opposita
Pisonia olfersiana,Guapira opposita
Torrubia olfersiana,Guapira opposita
Torrubia opposita,Guapira opposita
Carapa trijuga,Guarea glabra
Guarea bijuga,Guarea glabra
Guarea brachystachya,Guarea glabra
Guarea brevianthera,Guarea glabra
Guarea bullata,Guarea glabra
Guarea chiapensis,Guarea glabra
Guarea chiricana,Guarea glabra
Guarea ciliata,Guarea glabra
Guarea cook-griggsii,Guarea glabra
Guarea donnell-smithii,Guarea glabra
Guarea erythrocarpa,Guarea glabra
Guarea excelsa,Guarea glabra
Guarea excelsa subsp. dubia,Guarea glabra
Guarea filiformis,Guarea glabra
Guarea filiformis var. cinerascens,Guarea glabra
Guarea filiformis var. pallida,Guarea glabra
Guarea fulva,Guarea glabra
Guarea fulva var. mexicana,Guarea glabra
Guarea glabrescens,Guarea glabra
Guarea heterophylla,Guarea glabra
Guarea humilis,Guarea glabra
Guarea kegelii,Guarea glabra
Guarea lherminieri,Guarea glabra
Guarea luxii,Guarea glabra
Guarea makrinii,Guarea glabra
Guarea matudae,Guarea glabra
Guarea microcalyx,Guarea glabra
Guarea microcarpa,Guarea glabra
Guarea obtusata,Guarea glabra
Guarea palmeri,Guarea glabra
Guarea parva,Guarea glabra
Guarea pauciflora,Guarea glabra
Guarea polyantha,Guarea glabra
Guarea purpurea,Guarea glabra
Guarea racemiformis,Guarea glabra
Guarea ramiflora,Guarea glabra
Guarea rovirosae,Guarea glabra
Guarea schomburgkii,Guarea glabra
Guarea swartzii,Guarea glabra
Guarea syringoides,Guarea glabra
Guarea ternifoliola,Guarea glabra
Guarea tonduzii,Guarea glabra
Guarea tuerckheimii,Guarea glabra
Guarea vahliana,Guarea glabra
Guarea virescens,Guarea glabra
Sapindus glabrescens,Guarea glabra
Guarea cook-griggsii,Guarea kunthiana
Guarea densiflora,Guarea kunthiana
Guarea depauperata,Guarea kunthiana
Guarea erythrocarpa,Guarea kunthiana
Guarea glauca,Guarea kunthiana
Guarea grandifoliola,Guarea kunthiana
Guarea kunthiana var. densiflora,Guarea kunthiana
Guarea kunthiana var. hahniana,Guarea kunthiana
Guarea kunthiana var. hahnii,Guarea kunthiana
Guarea macrantha,Guarea kunthiana
Guarea matudae,Guarea kunthiana
Guarea megaphylla,Guarea kunthiana
Guarea membranacea,Guarea kunthiana
Guarea oblongiflora,Guarea kunthiana
Guarea poeppigii,Guarea kunthiana
Guarea poeppigii,Guarea kunthiana
Guarea pohlii,Guarea kunthiana
Guarea pohlii var. glabra,Guarea kunthiana
Guarea pohlii var. glabrior,Guarea kunthiana
Guarea simplicifolia,Guarea kunthiana
Guarea steinbachii,Guarea kunthiana
Guarea williamsii,Guarea kunthiana
Guarea alborosea,Guarea macrophylla
Guarea bangii,Guarea macrophylla
Guarea macrophylla subsp. pendulispica,Guarea macrophylla
Guarea pendulispica,Guarea macrophylla
Guatteria coriacea,Guatteria goudotiana
Guatteria heterotricha,Guatteria goudotiana
Guatteria lehmannii,Guatteria goudotiana
Guatteria quinduensis,Guatteria goudotiana
Guatteria microcarpa,Guatteria microcarpa
Guatteria sodiroi,Guatteria microcarpa
Bignonia chrysantha,Handroanthus chrysanthus
Tabebuia chrysantha,Handroanthus chrysanthus
Tecoma chrysantha,Handroanthus chrysanthus
Gymnosporia gentryi,Haydenoxylon gentryi
Haydenia gentryi,Haydenoxylon gentryi
Hedyosmum crassifolium,Hedyosmum cuatrecazanum
Hedyosmum crassifolium,Hedyosmum cuatrecazanum
Hedyosmum granizo,Hedyosmum cumbalense
Hedyosmum toxicum,Hedyosmum cumbalense
Hedyosmum hirsutum,Hedyosmum scabrum
Hedyosmum latifolium,Hedyosmum scabrum
Hedyosmum mandonii,Hedyosmum scabrum
Tafalla mandonii,Hedyosmum scabrum
Tafalla scabra,Hedyosmum scabrum
Tafalla scabra,Hedyosmum scabrum
Helicostylis urophylla,Helicostylis tovarensis
Olmedia boyacana,Helicostylis tovarensis
Olmedia tovarensis,Helicostylis tovarensis
Heliocarpus americanus subsp. popayanensis,Heliocarpus americanus
Heliocarpus americanus var. popayanensis,Heliocarpus americanus
Heliocarpus cuspidatus,Heliocarpus americanus
Heliocarpus donnellsmithii,Heliocarpus americanus
Heliocarpus floribundus,Heliocarpus americanus
Heliocarpus gentlei,Heliocarpus americanus
Heliocarpus popayanensis,Heliocarpus americanus
Heliocarpus rudis,Heliocarpus americanus
Heliocarpus stipulatus,Heliocarpus americanus
Heliocarpus tomentosus,Heliocarpus americanus
Heliocarpus trichopodus,Heliocarpus americanus
Clidemia verrucosa,Henriettea verrucosa
Henriettella verrucosa,Henriettea verrucosa
Hieronyma sararita,Hieronyma asperifolia
Hieronyma colombiana,Hieronyma macrocarpa
Hieronyma croizatii,Hieronyma macrocarpa
Hieronyma macrocarpa var. spruceana,Hieronyma macrocarpa
Idiopappus quitensis,Idiopappus saloyensis
Verbesina saloyensis,Idiopappus saloyensis
Inga myriocephala,Inga acreana
Feuilleea fagifolia,Inga laurina
Feuilleea laurina,Inga laurina
Inga fagifolia,Inga laurina
Inga fagifolia fo. pedicellaris,Inga laurina
Inga fagifolia,Inga laurina
Inga fagifolia var. belemnensis,Inga laurina
Inga fagifolia var. pedicellaris,Inga laurina
Inga tetraphylla,Inga laurina
Inga tetraphylla,Inga laurina
Inga tetraphylla var. parvifolia,Inga laurina
Inga verrucosa,Inga laurina
Mimosa fagifolia,Inga laurina
Mimosa fagifolia,Inga laurina
Mimosa laurina,Inga laurina
Mimosa tetraphylla,Inga laurina
Feuilleea acrocephala,Inga acrocephala
Inga brevipedicellata,Inga acrocephala
Inga myriocephala,Inga acrocephala
Feuilleea acuminata,Inga acuminata
Inga sodiroi,Inga lallensis
Feuilleea ruiziana,Inga ruiziana
Inga confusa,Inga ruiziana
Inga fagifolia,Inga ruiziana
Inga foliosa,Inga ruiziana
Inga obscura,Inga ruiziana
Feuilleea chartacea,Inga chartacea
Inga bolivariana,Inga chartacea
Inga calophylla,Inga chartacea
Inga chardonii,Inga chartacea
Inga colonchensis,Inga chartacea
Feuilleea cinnamomea,Inga cinnamomea
Inga tessmannii var. harmsii,Inga cinnamomea
Feuilleea coruscans,Inga coruscans
Inga caldasiana,Inga coruscans
Inga klugii,Inga coruscans
Inga pseudomarginata,Inga coruscans
Mimosa coruscans,Inga coruscans
Feuilleea densiflora,Inga densiflora
Inga heinei,Inga densiflora
Inga java,Inga densiflora
Inga langlassei,Inga densiflora
Inga limonensis,Inga densiflora
Inga microdonta,Inga densiflora
Inga mollifoliola,Inga densiflora
Inga montealegrei,Inga densiflora
Inga monticola,Inga densiflora
Inga sordida,Inga densiflora
Inga titiribiana,Inga densiflora
Feuilleea fendleriana,Inga fendleriana
Inga rugosa,Inga fendleriana
Inga subalata,Inga fendleriana
Inga golfodulcensis,Inga glomeriflora
Feuilleea leiocalycina,Inga leiocalycina
Inga dumosa,Inga leiocalycina
Inga longipedunculata,Inga leiocalycina
Inga multiflora,Inga leiocalycina
Inga rufinervis,Inga leiocalycina
Inga semiglabra,Inga leiocalycina
Inga strigillosa,Inga leiocalycina
Inga tenuirama,Inga leiocalycina
Inga yunckeri,Inga leiocalycina
Feuilleea multicaulis,Inga multicaulis
Inga balaensis,Inga multicaulis
Inga rhabdotocalyx,Inga multicaulis
Feuilleea pruriens,Inga pruriens
Inga weberbaueri,Inga pruriens
Feuilleea leptoloba,Inga punctata
Feuilleea punctata,Inga punctata
Feuilleea rufinervis,Inga punctata
Feuilleea strigillosa,Inga punctata
Inga cycladenia,Inga punctata
Inga ierensis,Inga punctata
Inga leptoloba,Inga punctata
Inga popayanensis,Inga punctata
Inga punctata subsp. chagrensis,Inga punctata
Inga punctata var. elongata,Inga punctata
Inga punctata var. panamensis,Inga punctata
Inga rufinervis,Inga punctata
Inga salvadorensis,Inga punctata
Inga strigillosa,Inga punctata
Mimosa sericea,Inga punctata
Inga schimpffii,Inga spectabilis
Iochroma macrocalyx,Iochroma calycinum
Juanulloa grandiflora,Iochroma calycinum
Ceroxylon deltoideum,Iriartea deltoidea
Deckeria corneto,Iriartea deltoidea
Deckeria phaeocarpa,Iriartea deltoidea
Deckeria ventricosa,Iriartea deltoidea
Iriartea corneto,Iriartea deltoidea
Iriartea gigantea,Iriartea deltoidea
Iriartea megalocarpa,Iriartea deltoidea
Iriartea phaeocarpa,Iriartea deltoidea
Iriartea robusta,Iriartea deltoidea
Iriartea ventricosa,Iriartea deltoidea
Iriartea weberbaueri,Iriartea deltoidea
Iriartea xanthorhiza,Iriartea deltoidea
Juglans equatoriensis,Juglans neotropica
Juglans granatensis,Juglans neotropica
Juglans honorei,Juglans neotropica
Lozanella trematoides,Lozanella enantiophylla
Trema enantiophylla,Lozanella enantiophylla
Lozania bipinnata,Lozania mutisiana
Lozania montana,Lozania mutisiana
Lozania nemoralis,Lozania mutisiana
Monandrodendron peruvianum,Lozania mutisiana
Monandrodendron schultzei,Lozania mutisiana
Perrottetia costaricensis,Lozania mutisiana
Perrottetia racemosa,Lozania mutisiana
Quararibea castano,Matisia castano
Quararibea grandifolia,Matisia grandifolia
Celastrus macrocarpus,Maytenus macrocarpa
Haenkea macrocarpa,Maytenus macrocarpa
Haenkea multiflora,Maytenus macrocarpa
Maytenus multiflora,Maytenus macrocarpa
Maytenus tarapotensis,Maytenus macrocarpa
Brachycentrum excelsum,Meriania tomentosa
Centronia excelsa,Meriania tomentosa
Centronia tomentosa,Meriania tomentosa
Centronia tunguraguae,Meriania tomentosa
Centronia tungurahuae,Meriania tomentosa
Graffenrieda excelsa,Meriania tomentosa
Osbeckia excelsa,Meriania tomentosa
Rhexia excelsa,Meriania tomentosa
Acinodendron brachycalyx,Miconia brachycalyx
Acinodendron bracteolatum,Miconia bracteolata
Melastoma bracteolatum,Miconia bracteolata
Acinodendron clathranthum,Miconia clathrantha
Cremanium clathranthum,Miconia clathrantha
Acinodendron gracile,Miconia gracilis
Miconia ochroleuca,Miconia gracilis
Acinodendron papillosum,Miconia papillosa
Cremanium papillosum,Miconia papillosa
Melastoma papillosum,Miconia papillosa
Miconia quitensis,Miconia papillosa
Acinodendron punctatum,Miconia punctata
Eurychaenia punctata,Miconia punctata
Eurychaenia punctata var. latifolia,Miconia punctata
Melastoma punctatum,Miconia punctata
Miconia discolor,Miconia punctata
Miconia habrolepis,Miconia punctata
Miconia lepidota var. grandifolia,Miconia punctata
Miconia punctata var. brevifolia,Miconia punctata
Miconia punctata var. latifolia,Miconia punctata
Acinodendron corymbiforme,Miconia corymbiformis
Acinodendron goniostigma,Miconia goniostigma
Miconia megastigma,Miconia goniostigma
Acinodendron andinum,Miconia latifolia
Acinodendron epiphyticum,Miconia latifolia
Acinodendron latifolium,Miconia latifolia
Chiloporus andinus,Miconia latifolia
Cremanium latifolium,Miconia latifolia
Cremanium nitidum,Miconia latifolia
Miconia andina,Miconia latifolia
Miconia andina,Miconia latifolia
Miconia epiphytica,Miconia latifolia
Acinodendron ochraceum,Miconia ochracea
Morus marmolii,Morus insignis
Morus peruviana,Morus insignis
Morus trianae,Morus insignis
Aulomyrcia holosericea,Myrcia neesiana
Aulomyrcia neesiana,Myrcia neesiana
Aulomyrcia costata,Myrcia splendens
Aulomyrcia doniana,Myrcia splendens
Aulomyrcia pertusa,Myrcia splendens
Aulomyrcia wullschlaegeliana,Myrcia splendens
Cumetea divaricata,Myrcia splendens
Eugenia deflexa,Myrcia splendens
Eugenia divaricata,Myrcia splendens
Eugenia fallax,Myrcia splendens
Eugenia laxiflora,Myrcia splendens
Eugenia mollis,Myrcia splendens
Eugenia paniculiflora,Myrcia splendens
Eugenia periplocaefolia,Myrcia splendens
Myrcia acuminata,Myrcia splendens
Myrcia acuminata var. bullata,Myrcia splendens
Myrcia acuminata var. meridensis,Myrcia splendens
Myrcia acuminata var. peruviana,Myrcia splendens
Myrcia acuminata var. tovarensis,Myrcia splendens
Myrcia acutata,Myrcia splendens
Myrcia acutiloba,Myrcia splendens
Myrcia aguitensis,Myrcia splendens
Myrcia alagoensis,Myrcia splendens
Myrcia alagoensis var. intermedia,Myrcia splendens
Myrcia alagoensis var. oblongata,Myrcia splendens
Myrcia alagoensis var. ovata,Myrcia splendens
Myrcia atramentifera,Myrcia splendens
Myrcia augustana,Myrcia splendens
Myrcia ayabambensis,Myrcia splendens
Myrcia ayresiana,Myrcia splendens
Myrcia barrensis,Myrcia splendens
Myrcia belizensis,Myrcia splendens
Myrcia berberis,Myrcia splendens
Myrcia berberis var. angustifolia,Myrcia splendens
Myrcia berberis var. latifolia,Myrcia splendens
Myrcia brachylopadia,Myrcia splendens
Myrcia brandamii,Myrcia splendens
Myrcia cancellata,Myrcia splendens
Myrcia catharinae,Myrcia splendens
Myrcia chapadensis,Myrcia splendens
Myrcia chilensis,Myrcia splendens
Myrcia ciarensis,Myrcia splendens
Myrcia communis,Myrcia splendens
Myrcia communis var. glabrata,Myrcia splendens
Myrcia communis var. latifolia,Myrcia splendens
Myrcia complicata,Myrcia splendens
Myrcia compressa,Myrcia splendens
Myrcia corcovadensis,Myrcia splendens
Myrcia coroicensis,Myrcia splendens
Myrcia costaricensis,Myrcia splendens
Myrcia costata,Myrcia splendens
Myrcia costata var. bahiensis,Myrcia splendens
Myrcia costata var. minensis,Myrcia splendens
Myrcia coumetoides,Myrcia splendens
Myrcia cucullata,Myrcia splendens
Myrcia cujabensis,Myrcia splendens
Myrcia cujabensis var. latifolia,Myrcia splendens
Myrcia cujabensis var. longifolia,Myrcia splendens
Myrcia dictyoneura,Myrcia splendens
Myrcia discolor,Myrcia splendens
Myrcia divaricata,Myrcia splendens
Myrcia doniana,Myrcia splendens
Myrcia elongata,Myrcia splendens
Myrcia elongata var. brunnea,Myrcia splendens
Myrcia elongata var. grandifolia,Myrcia splendens
Myrcia elongata var. ochracea,Myrcia splendens
Myrcia erythroxylon,Myrcia splendens
Myrcia erythroxylon var. caerulescens,Myrcia splendens
Myrcia fallax,Myrcia splendens
Myrcia formosiana,Myrcia splendens
Myrcia friburgensis,Myrcia splendens
Myrcia gardneriana,Myrcia splendens
Myrcia gatunensis,Myrcia splendens
Myrcia govinha,Myrcia splendens
Myrcia gracilis,Myrcia splendens
Myrcia gracilis var. opaca,Myrcia splendens
Myrcia gracilis var. prasina,Myrcia splendens
Myrcia gracilis var. sessiliflora,Myrcia splendens
Myrcia guajavifolia,Myrcia splendens
Myrcia guajavifolia var. bullata,Myrcia splendens
Myrcia guajavifolia var. impunctata,Myrcia splendens
Myrcia guajavifolia var. perforata,Myrcia splendens
Myrcia hayneana,Myrcia splendens
Myrcia hayneana var. paraensis,Myrcia splendens
Myrcia hilariana,Myrcia splendens
Myrcia humboldtiana,Myrcia splendens
Myrcia humboldtiana var. caribaea,Myrcia splendens
Myrcia humboldtiana var. orinocensis,Myrcia splendens
Myrcia imperatoris-maximiliani,Myrcia splendens
Myrcia impressa,Myrcia splendens
Myrcia kegeliana,Myrcia splendens
Myrcia kegeliana var. angustifolia,Myrcia splendens
Myrcia kegeliana var. latifolia,Myrcia splendens
Myrcia kegeliana var. longifolia,Myrcia splendens
Myrcia kegeliana var. pendula,Myrcia splendens
Myrcia klotzschiana,Myrcia splendens
Myrcia klotzschiana var. impellucida,Myrcia splendens
Myrcia kunthiana,Myrcia splendens
Myrcia laevigata,Myrcia splendens
Myrcia laevigata var. brunnea,Myrcia splendens
Myrcia laevigata var. canescens,Myrcia splendens
Myrcia lamprosericea,Myrcia splendens
Myrcia langsdorffii,Myrcia splendens
Myrcia latifolia,Myrcia splendens
Myrcia lindeniana,Myrcia splendens
Myrcia linkiana,Myrcia splendens
Myrcia longicaudata,Myrcia splendens
Myrcia luetzelburgii,Myrcia splendens
Myrcia macrophylla,Myrcia splendens
Myrcia martiana,Myrcia splendens
Myrcia martinicensis,Myrcia splendens
Myrcia melanoclada,Myrcia splendens
Myrcia melanosticta,Myrcia splendens
Myrcia micrantha,Myrcia splendens
Myrcia mikaniana,Myrcia splendens
Myrcia mikaniana var. angustifolia,Myrcia splendens
Myrcia mikaniana var. latifolia,Myrcia splendens
Myrcia mollis,Myrcia splendens
Myrcia negrensis,Myrcia splendens
Myrcia neodoniana,Myrcia splendens
Myrcia nitens,Myrcia splendens
Myrcia oerstediana,Myrcia splendens
Myrcia oocarpa,Myrcia splendens
Myrcia opaca,Myrcia splendens
Myrcia opaca var. angustifolia,Myrcia splendens
Myrcia opaca var. latifolia,Myrcia splendens
Myrcia oxyoentophylla,Myrcia splendens
Myrcia pellucida,Myrcia splendens
Myrcia pertusa,Myrcia splendens
Myrcia phaeoclada var. alagoensis,Myrcia splendens
Myrcia phaeoclada var. guyanensis,Myrcia splendens
Myrcia plicatocostata,Myrcia splendens
Myrcia pohliana,Myrcia splendens
Myrcia pseudomini,Myrcia splendens
Myrcia regnelliana,Myrcia splendens
Myrcia regnelliana var. leptocalama,Myrcia splendens
Myrcia regnelliana var. robustior,Myrcia splendens
Myrcia riedeliana,Myrcia splendens
Myrcia riparia,Myrcia splendens
Myrcia rostrata,Myrcia splendens
Myrcia rostrata var. brunea,Myrcia splendens
Myrcia rufidula,Myrcia splendens
Myrcia rufula,Myrcia splendens
Myrcia rufula var. martiana,Myrcia splendens
Myrcia sartoriana,Myrcia splendens
Myrcia saxicola,Myrcia splendens
Myrcia saxicola var. grandifolia,Myrcia splendens
Myrcia schaueriana,Myrcia splendens
Myrcia schippii,Myrcia splendens
Myrcia schuechiana,Myrcia splendens
Myrcia sellowiana,Myrcia splendens
Myrcia sellowiana var. bullata,Myrcia splendens
Myrcia sellowiana var. costata,Myrcia splendens
Myrcia sepiaria,Myrcia splendens
Myrcia sericea,Myrcia splendens
Myrcia sericea,Myrcia splendens
Myrcia sericiflora,Myrcia splendens
Myrcia sororia,Myrcia splendens
Myrcia sororopanensis,Myrcia splendens
Myrcia sporadosticta,Myrcia splendens
Myrcia spruceana,Myrcia splendens
Myrcia subglabra,Myrcia splendens
Myrcia superba,Myrcia splendens
Myrcia tingens,Myrcia splendens
Myrcia velloziana,Myrcia splendens
Myrcia velutina,Myrcia splendens
Myrcia velutina var. canescens,Myrcia splendens
Myrcia velutina var. ochracea,Myrcia splendens
Myrcia venezuelensis,Myrcia splendens
Myrcia ypanemensis,Myrcia splendens
Myrtus acuminata,Myrcia splendens
Myrtus complicata,Myrcia splendens
Myrtus deflexa,Myrcia splendens
Myrtus dioica,Myrcia splendens
Myrtus fulva,Myrcia splendens
Myrtus mollis,Myrcia splendens
Myrtus polyantha,Myrcia splendens
Myrtus splendens,Myrcia splendens
Myrtus stoupii,Myrcia splendens
Amyrsia hallii,Myrcianthes hallii
Eugenia hallii,Myrcianthes hallii
Eugenia orthostemon,Myrcianthes orthostemon
Eugenia porphyroclada,Myrcianthes rhopaloides
Eugenia rhopaloides,Myrcianthes rhopaloides
Myrtus rhopaloides,Myrcianthes rhopaloides
Myriocarpa densiflora,Myriocarpa stipitata
Myriocarpa densiflora var. dombeyana,Myriocarpa stipitata
Myriocarpa dombeyana,Myriocarpa stipitata
Rapanea andina,Myrsine andina
Ardisia pallidiflora,Myrsine coriacea
Caballeria ferruginea,Myrsine coriacea
Manglilla ferruginea,Myrsine coriacea
Myrsine capororoca,Myrsine coriacea
Myrsine coriacea subsp. coriacea,Myrsine coriacea
Myrsine coriacea subsp. nigrescens,Myrsine coriacea
Myrsine ferruginea,Myrsine coriacea
Myrsine flocculosa,Myrsine coriacea
Myrsine guatemalensis,Myrsine coriacea
Myrsine jelskii,Myrsine coriacea
Myrsine laeta,Myrsine coriacea
Myrsine laeta,Myrsine coriacea
Myrsine microcalyx,Myrsine coriacea
Myrsine myricoides,Myrsine coriacea
Myrsine nigrescens,Myrsine coriacea
Myrsine paulensis,Myrsine coriacea
Myrsine popayanensis,Myrsine coriacea
Myrsine rufa,Myrsine coriacea
Myrsine rufescens,Myrsine coriacea
Myrsine salicifolia,Myrsine coriacea
Myrsine saligna,Myrsine coriacea
Myrsine tomentosa,Myrsine coriacea
Myrsine vestita,Myrsine coriacea
Myrsine viridis,Myrsine coriacea
Rapanea ambigua,Myrsine coriacea
Rapanea coriacea,Myrsine coriacea
Rapanea ferruginea,Myrsine coriacea
Rapanea jelskii,Myrsine coriacea
Rapanea mandonii,Myrsine coriacea
Rapanea microcalyx,Myrsine coriacea
Rapanea myricoides,Myrsine coriacea
Rapanea nigrescens,Myrsine coriacea
Rapanea panamensis,Myrsine coriacea
Rapanea paulensis,Myrsine coriacea
Rapanea rufa,Myrsine coriacea
Rapanea vestita,Myrsine coriacea
Samara coriacea,Myrsine coriacea
Samara saligna,Myrsine coriacea
Ogcodeia naga,Naucleopsis naga
Laurus acutifolia,Nectandra acutifolia
Nectandra acuminata,Nectandra acutifolia
Nectandra berchemiaefolia,Nectandra acutifolia
Nectandra berchemiifolia,Nectandra acutifolia
Nectandra berchemiifolia var. pavonii,Nectandra acutifolia
Persea acuminata,Nectandra acutifolia
Laurus longifolia,Nectandra longifolia
Nectandra crassipes,Nectandra longifolia
Nectandra elongata,Nectandra longifolia
Nectandra macbridei,Nectandra longifolia
Laurus membranacea,Nectandra membranacea
Nectandra bondarii,Nectandra membranacea
Nectandra cuspidata var. macrocarpa,Nectandra membranacea
Nectandra cuspidata var. strumosa,Nectandra membranacea
Nectandra gentlei,Nectandra membranacea
Nectandra laevis,Nectandra membranacea
Nectandra leucothyrsus,Nectandra membranacea
Nectandra perdubia,Nectandra membranacea
Nectandra raimondii,Nectandra membranacea
Nectandra skutchii,Nectandra membranacea
Nectandra standleyi,Nectandra membranacea
Nectandra williamsii,Nectandra membranacea
Oreodaphne strumosa,Nectandra membranacea
Persea membranacea,Nectandra membranacea
Laurus purpurea,Nectandra purpurea
Nectandra fuscobarbata,Nectandra purpurea
Nectandra glabrescens var. fuscobarbata,Nectandra purpurea
Nectandra latifolia,Nectandra purpurea
Nectandra polita,Nectandra purpurea
Nectandra polita var. oerstedii,Nectandra purpurea
Ocotea flexuosa,Nectandra purpurea
Ocotea latifolia,Nectandra purpurea
Persea latifolia,Nectandra purpurea
Bombax angulata,Ochroma pyramidale
Bombax angulatum,Ochroma pyramidale
Bombax pyramidale,Ochroma pyramidale
Ochroma bicolor,Ochroma pyramidale
Ochroma bolivianum,Ochroma pyramidale
Ochroma concolor,Ochroma pyramidale
Ochroma grandiflorum,Ochroma pyramidale
Ochroma lagopus,Ochroma pyramidale
Ochroma lagopus var. bicolor,Ochroma pyramidale
Ochroma lagopus var. occigranatense,Ochroma pyramidale
Ochroma limonense,Ochroma pyramidale
Ochroma obtusum,Ochroma pyramidale
Ochroma peruvianum,Ochroma pyramidale
Ochroma pyramidale var. bicolor,Ochroma pyramidale
Ochroma pyramidale var. concolor,Ochroma pyramidale
Ochroma tomentosum,Ochroma pyramidale
Ochroma tomentosum var. ibarrense,Ochroma pyramidale
Ochroma velutina,Ochroma pyramidale
Ochroma velutinum,Ochroma pyramidale
Nectandra crassifolia,Ocotea benthamiana
Ocotea bangii,Ocotea cernua
Ocotea caudata,Ocotea cernua
Ocotea marmellensis var. acrensis,Ocotea cernua
Ocotea marowynensis,Ocotea cernua
Ocotea urophylla,Ocotea cernua
Oreodaphne caudata,Ocotea cernua
Oreodaphne cernua,Ocotea cernua
Oreodaphne marowynensis,Ocotea cernua
Laurus floribunda,Ocotea floribunda
Laurus multiglandulosa,Ocotea floribunda
Nectandra floribunda,Ocotea floribunda
Ocotea architectorum,Ocotea floribunda
Ocotea caniflora,Ocotea floribunda
Ocotea floribunda,Ocotea floribunda
Ocotea multiglandulosa,Ocotea floribunda
Ocotea wachenheimii,Ocotea floribunda
Strychnodaphne floribunda,Ocotea floribunda
Laurus cuneifolia,Ocotea cuneifolia
Ocotea cuneata,Ocotea cuneifolia
Ocotea cuneata,Ocotea cuneifolia
Ocotea oocarpa,Ocotea cuneifolia
Ocotea raimondii,Ocotea cuneifolia
Oreodaphne cuneata,Ocotea cuneifolia
Aiouea costaricensis,Ocotea insularis
Aiouea lundelliana,Ocotea insularis
Aiouea vexatrix,Ocotea insularis
Ocotea floccifera,Ocotea insularis
Ocotea ira,Ocotea insularis
Ocotea tonduzii,Ocotea insularis
Phoebe insularis,Ocotea insularis
Oreopanax mucronulatus,Oreopanax ecuadorensis
Oreopanax puma-maqui,Oreopanax ecuadorensis
Oreopanax schimpffii,Oreopanax ecuadorensis
Oreopanax serra,Oreopanax ecuadorensis
Oreopanax sprucei,Oreopanax ecuadorensis
Clidemia macrophylla,Ossaea macrophylla
Clidemia solearis,Ossaea macrophylla
Octopleura macrophylla,Ossaea macrophylla
Oxymeris macrophylla,Ossaea macrophylla
Melastoma micranthum,Ossaea micrantha
Miconia neomicrantha,Ossaea micrantha
Octopleura micrantha,Ossaea micrantha
Ossaea caudata,Ossaea micrantha
Ossaea tetragona,Ossaea micrantha
Sagraea neurocarpa,Ossaea micrantha
Dialyanthera gordoniifolia,Otoba gordoniifolia
Myristica gordoniifolia,Otoba gordoniifolia
Dialyanthera otoba,Otoba novogranatensis
Myristica otoba,Otoba novogranatensis
Otoba otoba,Otoba novogranatensis
Palala otoba,Otoba novogranatensis
Cephaelis acanthacea,Palicourea acanthacea
Palicourea anacardiifolia,Palicourea amethystina
Palicourea bryophila,Palicourea amethystina
Palicourea hedyosmoides,Palicourea amethystina
Palicourea huigrensis,Palicourea amethystina
Palicourea lopeziana,Palicourea amethystina
Palicourea macrocarpa,Palicourea amethystina
Palicourea polyneura,Palicourea amethystina
Palicourea trichoneura,Palicourea amethystina
Psychotria amethystina,Palicourea amethystina
Uragoga gigantocalyx,Palicourea amethystina
Palicourea lasseri,Palicourea apicata
Palicourea nana,Palicourea apicata
Palicourea nubicola,Palicourea apicata
Palicourea pasti,Palicourea apicata
Palicourea vagans,Palicourea apicata
Psychotria lineata,Palicourea apicata
Palicourea caldasana,Palicourea demissa
Palicourea canaguensis,Palicourea demissa
Palicourea chimo,Palicourea demissa
Palicourea demissa var. chimo,Palicourea demissa
Nonatelia cataractarum,Palicourea guianensis
Nonatelia macrophylla,Palicourea guianensis
Palicourea barbinervia,Palicourea guianensis
Palicourea brachyloba,Palicourea guianensis
Palicourea grandifolia,Palicourea guianensis
Palicourea guianensis fo. glabra,Palicourea guianensis
Palicourea guianensis subsp. barbinervia,Palicourea guianensis
Palicourea guianensis subsp. occidentalis,Palicourea guianensis
Palicourea guianensis var. glabrescens,Palicourea guianensis
Palicourea guianensis var. tetramera,Palicourea guianensis
Palicourea guianensis var. trimera,Palicourea guianensis
Palicourea hypomalaca,Palicourea guianensis
Palicourea kuhlmannii,Palicourea guianensis
Palicourea macrophylla,Palicourea guianensis
Palicourea nayana,Palicourea guianensis
Palicourea speciosa,Palicourea guianensis
Psychotria brachyloba,Palicourea guianensis
Psychotria cataractarum,Palicourea guianensis
Psychotria grandifolia,Palicourea guianensis
Psychotria guianensis,Palicourea guianensis
Psychotria guianensis,Palicourea guianensis
Psychotria lutea,Palicourea guianensis
Psychotria palicourea,Palicourea guianensis
Psychotria speciosa,Palicourea guianensis
Simira palicourea,Palicourea guianensis
Stephanium guianense,Palicourea guianensis
Stephanium guianense,Palicourea guianensis
Uragoga barbinervia,Palicourea guianensis
Uragoga bonplandiana,Palicourea guianensis
Uragoga palicourea,Palicourea guianensis
Palicourea hylophila,Palicourea chimboracensis
Palicourea obesiflora,Palicourea chimboracensis
