Scientific_names,Number_of_synonyms,,
Inga chartacea,5,,
Inga cinnamomea,2,,
Inga coruscans,5,,
Inga densiflora,11,,
Inga fendleriana,3,,
Inga glomeriflora,1,,
Inga leiocalycina,9,,
Inga multicaulis,3,,
Inga nobilis subsp. quaternata,0,,
Inga pruriens,2,,
Inga punctata,15,,
Inga spectabilis,1,,
Iochroma calycinum,2,,
Iriartea deltoidea,12,,
Jacaratia chocoensis,0,,
Juglans neotropica,3,,
Licania durifolia,0,,
Licania megalophylla,0,,
Licaria applanata,0,,
Lozanella enantiophylla,2,,
Lozania mutisiana,7,,
Magnolia mashpi,0,,
Matisia castano,1,,
Matisia giacomettoi,0,,
Matisia grandifolia,1,,
Maytenus macrocarpa,5,,
Meliosma arenosa,0,,
Meliosma occidentalis,0,,
Meliosma echeverryana,0,,
Meliosma frondosa,0,,
Meliosma peytonii,0,,
Meliosma vasquezii,0,,
Meliosma violacea,0,,
Meriania maxima,0,,
Meriania pichinchensis,0,,
Meriania tomentosa,8,,
Miconia brevitheca,0,,
Miconia brachycalyx,1,,
Miconia bracteolata,2,,
Miconia clathrantha,2,,
Miconia gracilis,2,,
Miconia papillosa,4,,
Miconia punctata,9,,
Miconia theaezans,0,,
Miconia corymbiformis,1,,
Miconia dapsiliflora,0,,
Miconia explicita,0,,
Miconia goniostigma,2,,
Miconia latifolia,9,,
Miconia ochracea,1,,
Miconia rivetii,0,,
Monnina obovata,0,,
Monnina pseudopilosa,0,,
Morus insignis,3,,
Myrcia neesiana,2,,
Myrcia splendens,177,384,103
Myrcianthes hallii,2,,
Myrcianthes orthostemon,1,,
Myrcianthes rhopaloides,3,,
Myriocarpa stipitata,3,,
Myrsine andina,1,,
Myrsine coriacea,38,,
Naucleopsis capirensis,0,,
Naucleopsis chiguila,0,,
Naucleopsis naga,1,,
Nectandra acutifolia,6,,
Nectandra longifolia,4,,
Nectandra membranacea,14,,
Nectandra purpurea,9,,
Nectandra subbullata,0,,
Nectandra obtusata,0,,
Ochroma pyramidale,19,,
Ocotea benthamiana,1,,
Ocotea cernua,8,,
Ocotea floribunda,9,,
Ocotea heterochroma,0,,
Ocotea pacifica,0,,
Ocotea pichinchensis,0,,
Ocotea cuneifolia,6,,
Ocotea insularis,7,,
Ocotea oreophila,0,,
Ocotea pedanomischa,0,,
Ocotea rugosa,0,,
Oreopanax ecuadorensis,5,,
Oreopanax floribundus,0,,
Oreopanax grandifolius,0,,
Oreopanax palamophyllus,0,,
Ossaea macrophylla,4,,
Ossaea micrantha,6,,
Otoba gordoniifolia,2,,
Otoba novogranatensis,4,,
Palicourea acanthacea,1,,
Palicourea amethystina,10,,
Palicourea andrei,0,,
Palicourea apicata,6,,
Palicourea demissa,4,,
Palicourea guianensis,30,307,26
Palicourea chimboracensis,2,,
Palicourea palenquensis,2,,
Palicourea pyramidalis,1,,
Palicourea sodiroi,0,,
Panopsis megistosperma,0,,
Pentagonia macrophylla,9,,
Persea pseudofasciculata,0,,
Persea rigens,0,,
Pholidostachys dactyloides,1,,
Phytelephas aequatorialis,1,,
Piper aequale,50,,
Piper barbatum,11,,
Piper carpunya,9,,
Piper obliquum,13,,
Piper crassinervium,22,,
Piper hylophilum,0,,
Piper imperiale,18,,
Piper nubigenum,3,,
Pittoniotis rotata,0,,
Pleurothyrium giganthum,0,,
Pleurothyrium glabritepalum,0,,
Posoqueria chocoana,0,,
Poulsenia armata,4,,
Pourouma bicolor subsp. scobina,0,,
Prestoea acuminata,39,,
Prestoea decurrens,1,,
Protium ecuadorense,0,,
Prunus huantensis,1,,
Pseudolmedia gentryi,0,,
Psychotria brachiata,4,,
Psychotria hazenii,4,,
Psychotria montivaga,0,,
Rauvolfia leptophylla,0,,
Rhodostemonodaphne cyclops,0,,
Rhodostemonodaphne kunthiana,8,,
Richeria dressleri,0,,
Roupala montana,37,,
Ruagea glabra,8,,
Ruagea pubescens,3,,
Ruagea tomentosa,0,,
